Name,Password,Email,Userrole,Premiumpackage,Contactsleft,Userimage,Profileid,Gender,Dob,Hight,Weight,Complexion,Bodytype,Maritalstatus,Noofchildren,Physicalstatus,Mothertongue,Nativeplace,Bloodgroup,Profilecreatedfor,Religion,Caste,Star,Jathakam,Educationcategory,Educationtype,Occupation,Occupationtype,Jobcountry,Jobstate,Jobdistrict,Jobcity,Anualincome,Residenceaddr,Userlocation,Phonenumber,Whatsapp,Prefferedcontact,Prefferedcontactpersonname,Prefferedcontactrelaion,Fathername,Fathereducation,Fatheroccupation,Fatheroccupationdetail,Mothername,Mothereducation,Motheroccupation,Motheroccupationdetail,Noofmarriedbrothers,Noofmarriedsisters,Noofunmarriedbrothers,Noofunmarriedsisters,Familytype,Familyvalue,Financialstatus,Userownerof,Eatinghabbits,Drinkinghabbits,Somkinghabbits,Languegesknow,Hobbies,Intrests,Minage,Maxage,Minheight,Maxheight,Pcomplexion,Pbodytype,Pmaritalstatus,Pphysicalstatus,Pfamilystatus,Preligion,Pcaste,Pstar,Pjaathakam,Peducationcategory,Poccupation,Panualincome,Pcountry,Pstate,Pdistrict,Lookingfor,About
MRIDULA SELVIN K.,defpass123,EKM500021@email.com,user,free,0,,EKM500021,male,34 /29-07-1987,5 ft - 152 cm,Not Mentioned,Very Fair,Slim,UnMarried,0,Normal,Malayalam,Kottappuram,A+ve,Parents,Christian,Latin Catholic,uthradam,chovadosham,High School,MBA (Finance),Nurse,Doing PSC Coaching,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565637.0,9995050001.0,MRIDULA SELVIN K.,parent,Johnef Selvin K.P,MBA (Finance),"Chief Section Supervisor, Bsnl(Retd.)","Chief Section Supervisor, Bsnl(Retd.)",Leela Selvin,MBA (Finance),Bank Officer (Retd.),Bank Officer (Retd.),0,0,0,0,Nuclear family,Liberal,Upper Middle Class,"house,car",Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,162 cm,165 cm,Very Fair,Slim,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,uthradam,chovadosham,MBA (Finance),"Chief Section Supervisor, Bsnl(Retd.)",,Benin,kerala,Idukki,"simple family,goodlooking girl","MBA Finance from Mar Athanasious College, Kothamangalam."
DR.NAVYA BOSE,defpass123,EKM500022@email.com,user,free,0,,EKM500022,Female,30 /03-02-1992,5 ft 1 in - 154 cm,56 kg,Fair,Average,UnMarried,0,Normal,Malayalam,Alappuzha,O+ve,Parents,Christian,Latin Catholic,thiruvonam,shudhajathakam,Doctorate,MBBS,Own Business,Doctor,Alappuzha,Alleppey,Alappuzha,Alleppey,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565631.0,9995050002.0,DR.NAVYA BOSE,uncle,Bose A.T,MBBS,Retired Lecturer,Retired Lecturer,Elizabeth A.J,MBBS,Assistant Development Commissioner,Assistant Development Commissioner,1,1,0,0,Joint family,Moderate,Upper Middle Class,bike,Non Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,163 cm,170 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,thiruvonam,shudhajathakam,MBBS,Retired Lecturer,,Bermuda,tamilnadu,Thrissur,orthodox familyand lovable ,"Fair , industrious, God fearing, obedient, keen in higher studies"
NATASHA RAPHAEL,defpass123,EKM500023@email.com,user,free,0,,EKM500023,male,32 /09-08-1989,5 ft - 152 cm,Not Mentioned,Moderate Fair,Average,UnMarried,0,Normal,Malayalam,Mumbai,NM,Parents,Christian,Latin Catholic,chothi,chovadosham,Masters,"M Com, Actuarial Science",Partner In Business,Assistant Vice President,"Credit Suisse, Mumbai",Mumbai,"Credit Suisse, Mumbai",Mumbai,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565632.0,9995050003.0,NATASHA RAPHAEL,brother,Raphael Mathew,"M Com, Actuarial Science",Business,Business,Shirley Raphael,"M Com, Actuarial Science",Govt.Employee,Govt.Employee,0,0,1,0,Nuclear family,Moderate,Upper Middle Class,"house,car",Eggetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,164 cm,165 cm,Moderate Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,chothi,chovadosham,"M Com, Actuarial Science",Business,5 lakhs-6 lakhs Indian Rupee,Bhutan,kerala, Palakkad,"simple family,goodlooking girl","Natasha is born and brought up in Mumbai. She completed her Master’s from Mumbai University and is a member of the Institute of Actuaries India. She is currently working as AVP with Credit Suisse, Mumbai. Our family is based in Mumbai, I run my own business and my wife is employed with the Central Govt. We also have a younger daughter currently working as Junior Research Fellow in Mumbai."
DR.SHERINE MARIAN,defpass123,EKM500024@email.com,user,free,0,,EKM500024,Female,32 /04-10-1989,5 ft 2 in - 157 cm,55 kg,Moderate Fair,Slim,UnMarried,0,Normal,Malayalam,Ernakulum,B+ve,Parents,Christian,Latin Catholic,makam,shudhajathakam,Bachelors,MD ,Private Company,Radiologist,Doha,Qatar,Doha,Qatar,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565633.0,9995050004.0,DR.SHERINE MARIAN,sister,Antony Marian,MD ,Business,Business,Annamma Marian,MD ,Housewife,Housewife,1,1,1,0,Joint family,Liberal,Upper Middle Class,bike,Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,155 cm,170 cm,Moderate Fair,Slim,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,makam,shudhajathakam,MD ,Business,,Bolivia,tamilnadu,Malappuram,orthodox familyand lovable ,"my daughter did her school in MES Indian School, Doha- Qatar. Then she did her M.B.B.S and MD Radiology in A.J Institute of medical sciences, Mangalore, Karnataka.Now living with us in Qatar."
STELLA MARY,defpass123,EKM500025@email.com,user,free,0,,EKM500025,male,35 /03-11-1986,5 ft 3 in - 160 cm,53 kg,Fair,Slim,UnMarried,0,Normal,Malayalam,Ernakulam,O+ve,Parents,Christian,Latin Catholic,moolam,chovadosham,Diploma,BA ,Private Bank,Assistant Manager,Bangalore,Karnataka,Bangalore,Karnataka,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565634.0,9995050001.0,STELLA MARY,parent,P.B.Rajappan,BA ,"Retired Deputy Secretary, Ministry Of Home Affairs","Retired Deputy Secretary, Ministry Of Home Affairs",Claramma Rajappan,BA ,House Wife; Initially Worked As Teacher.,House Wife; Initially Worked As Teacher.,0,0,1,1,Nuclear family,Moderate,MiddleClass,"house,car",Non Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,158 cm,165 cm,Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,moolam,chovadosham,BA ,"Retired Deputy Secretary, Ministry Of Home Affairs",,Botswana,kerala, Kozhikode,"simple family,goodlooking girl","Studied in Convent of Jesus & Mary, New Delhi, International School of Geneva, Switzerland, Holy Child Auxilium School, New Delhi, and Jesus & Mary College, New Delhi. She did her MBA from UK. Passed IELTS in January 2021 with 7.5% score. Now she is working as Assistant Manager in HSBC Bank, Bangalore from 19 November 2020. Father is retired Deputy Secretary, Ministry of Home Affairs, New Delhi. Mother is M.A. B.Ed., worked as Teacher for a short while, and is a housewife."
NIKITA JACOB ,defpass123,EKM500026@email.com,user,free,0,,EKM500026,Female,33 /15-09-1988,5 ft 4 in - 162 cm,56 kg,Fair,Slim,UnMarried,0,Normal,Malayalam,New Delhi,B+ve,Parents,Christian,Latin Catholic,uthradam,shudhajathakam,Trade School / TTC / ITI,B.Sc,Retired,Research Fellow,University of York,UK,University of York,UK,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565635.0,9995050002.0,NIKITA JACOB ,uncle,Gabriel Jacob,B.Sc,Retd. Engineer (Railway),Retd. Engineer (Railway),Philomina Jacob,B.Sc,Nurse,Nurse,1,1,0,0,Joint family,Moderate,MiddleClass,bike,Eggetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,163 cm,170 cm,Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,uthradam,shudhajathakam,B.Sc,Retd. Engineer (Railway),,Brazil,tamilnadu,Wayanad,orthodox familyand lovable ,"Born and brought up in Delhi, studied in Convent of Jesus and Mary school, Delhi. Completed Bachelors and Masters in Economics at the University of Essex, UK. Returned to India and worked at Reserve Bank of India, Mumbai and then worked in Delhi. After that she pursued and completed PhD in Economics and currently working as a lecturer/ researcher at the University of York. She likes travelling, reading and singing and is also a part of the Church choir and a very active member of the Church."
DR.RINI FRANCIS,defpass123,EKM500027@email.com,user,free,0,,EKM500027,male,30 /29-02-1992,5 ft 2 in - 157 cm,Not Mentioned,Medium,Average,UnMarried,0,Normal,Malayalam,Trivandrum,NM,Parents,Christian,Latin Catholic,thiruvonam,chovadosham,Higher Secondary / Plus Two,MBBS,Scheduled Bank,Doctor - Doing PG CT3,NHS,UK,NHS,UK,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565636.0,9995050003.0,DR.RINI FRANCIS,brother,Francis,MBBS,Accountant (Dubai),Accountant (Dubai),Neena Francis,MBBS,House Wife,House Wife,0,0,0,0,Nuclear family,Liberal,Upper Middle Class,"house,car",Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,160 cm,165 cm,Medium,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,thiruvonam,chovadosham,MBBS,Accountant (Dubai),,Bulgary,kerala,Kannur,"simple family,goodlooking girl",-
DR SHALIN JAMES,defpass123,EKM500028@email.com,user,free,0,,EKM500028,Female,30 /08-07-1991,5 ft 3 in - 160 cm,54 kg,Fair,Average,UnMarried,0,Normal,Malayalam,Edappally,O+ve,Parents,Christian,Latin Catholic,chothi,shudhajathakam,High School,"DNB, (Obstetrics and Gynaecology)",Self Employed,Doctor,Adoor,Pathanamthitta,Adoor,Pathanamthitta,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565637.0,9995050004.0,DR SHALIN JAMES,sister,Mr . James Mukkath,"DNB, (Obstetrics and Gynaecology)","Retired, Accountant","Retired, Accountant",Mrs Gracy James,"DNB, (Obstetrics and Gynaecology)","Retired, Nurse(Nri)","Retired, Nurse(Nri)",0,0,1,0,Joint family,Moderate,Upper Middle Class,bike,Non Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,164 cm,170 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,chothi,shudhajathakam,"DNB, (Obstetrics and Gynaecology)","Retired, Accountant",,Burundi,tamilnadu,Kasaragod,orthodox familyand lovable ,"My daughter Shalin, is a God fearing, independent , caring and supportive person, who is a post graduate in obstetrics and gynaecology .Her schooling was done at St. Joseph higher secondary, kalmasserry, MBBS from Government medical college (ACME, Pariyaram).DNB OBG from lifeline hospital,Adoor.Her hobbies loves to see movies, dancing, etc..."
VINEETHA XAVIER,defpass123,EKM500029@email.com,user,free,0,,EKM500029,male,31 /02-11-1990,5 ft 4 in - 162 cm,Not Mentioned,Moderate Fair,Average,Awaiting Divorce,1,Normal,Malayalam,Palluruthy,O+ve,Parents,Christian,Latin Catholic,makam,chovadosham,Doctorate,Diploma,Student,Solution Architect,Not Mentioned,Cochin,Not Mentioned,Cochin,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565631.0,9995050001.0,VINEETHA XAVIER,parent,Xavier Joseph,Diploma,Driver,Driver,Valsa Xavier,Diploma,Home Maker,Home Maker,1,0,0,0,Nuclear family,Moderate,MiddleClass,"house,car",Eggetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,156 cm,165 cm,Moderate Fair,Average,Awaiting Divorce,Normal,MiddleClass,Christian,Latin Catholic,makam,chovadosham,Diploma,Driver,,Cambodia,kerala,ERNAKULAM,"simple family,goodlooking girl",-
AMRITHA ANTONY,defpass123,EKM500030@email.com,user,free,0,,EKM500030,Female,30 /14-11-1991,5 ft 1 in - 154 cm,Not Mentioned,Moderate Fair,Slim,UnMarried,0,Normal,Malayalam,Varapuzha,O+ve,Parents,Christian,Latin Catholic,moolam,shudhajathakam,Masters,M.Com,Other,Assistant Professor,"Rajagiri College, Kakkanad",Ernakulam,"Rajagiri College, Kakkanad",Ernakulam,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565632.0,9995050002.0,AMRITHA ANTONY,uncle,T.J Antony,M.Com,Bsnl Employee (Retired),Bsnl Employee (Retired),Mary Antony(Late),M.Com,"Ud Clerk (St. Xavier'S College, Aluva)Retired","Ud Clerk (St. Xavier'S College, Aluva)Retired",1,1,0,0,Joint family,Liberal,MiddleClass,bike,Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,160 cm,170 cm,Moderate Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,moolam,shudhajathakam,M.Com,Bsnl Employee (Retired),2 lakhs- 3 lakhs Indian Rupee,Cameroon,tamilnadu,Thiruvananthapuram,orthodox familyand lovable ,"My daughter Amritha simple, down to earth and God fearing girl.She belives in positive thinking and preceives optimisum in all life ways.She completed her masters in Commerce from St.pauls college Kalammassery. Started her Career as Asst Professor at Bharata Mata college, currently she designs the post of Asst Professor at Rajagiri College of Management and Applied Sciences Kakkanad. She currently pursuing PhD in MG university. Amritha shows interest in Dress desigining, cooking during her leisure.She loves listening music, watching movies and travelling. We invite proposals from the parents of like minded loving and caring boys."
DEEPTHI C K,defpass123,EKM500031@email.com,user,free,0,,EKM500031,male,36 /26-09-1985,5 ft 3 in - 160 cm,60 kg,Very Fair,Average,Divorcee,0,Normal,Malayalam,Koonammavu,O+ve,Siblings,Christian,Latin Catholic,uthradam,chovadosham,Bachelors,B.Tech,Abroad,Software Engineer,Ernakulam,Cochin,Ernakulam,Cochin,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565633.0,9995050003.0,DEEPTHI C K,brother,Kunjachan,B.Tech,Late,Late,Angel Kunjachan,B.Tech,House Wife,House Wife,1,0,0,0,Nuclear family,Moderate,Upper Middle Class,"house,car",Non Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,157 cm,165 cm,Very Fair,Average,Divorcee,Normal,Upper Middle Class,Christian,Latin Catholic,uthradam,chovadosham,B.Tech,Late,,Canada,kerala,Kollam,"simple family,goodlooking girl",She is an IT Professional working in Ernakulam. Looking forward to find a life long partner and companionship who values Family life.
DR. SHEETAL JAMES,defpass123,EKM500032@email.com,user,free,0,,EKM500032,Female,30 /08-07-1991,5 ft 3 in - 160 cm,62 kg,Very Fair,Average,UnMarried,0,Normal,Malayalam,Edappally,B+ve,Parents,Christian,Latin Catholic,thiruvonam,shudhajathakam,Diploma,Master of Dental Surgery,Defence,MDS Final year Post Graduate student,Oxford Dental College,Bangalore,Oxford Dental College,Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565634.0,9995050004.0,DR. SHEETAL JAMES,sister,Mr.James Mukkath,Master of Dental Surgery,Retired Accountant,Retired Accountant,Mrs.Gracy James,Master of Dental Surgery,Retired Nurse(Nri),Retired Nurse(Nri),0,0,1,0,Joint family,Moderate,Upper Middle Class,bike,Eggetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,165 cm,170 cm,Very Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,thiruvonam,shudhajathakam,Master of Dental Surgery,Retired Accountant,,Cape Verde,tamilnadu,Pathanamthitta,orthodox familyand lovable ,"My daughter is a god fearing, well educated, currently doing postgraduation in Master of dental surgery."
TINA I M,defpass123,EKM500033@email.com,user,free,0,,EKM500033,male,30 /23-11-1991,5 ft 1 in - 154 cm,57 kg,Medium,Average,UnMarried,0,Normal,Malayalam,Mandya,B+ve,Parents,Christian,Latin Catholic,chothi,chovadosham,Trade School / TTC / ITI,BE,Government,Systems Engineer,Philips Healthcare India Ltd,Bangalore,Philips Healthcare India Ltd,Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565635.0,9995050001.0,TINA I M,parent,Patric Samuel,BE,Ex Defence Officer,Ex Defence Officer,Lissy Patric,BE,House Wife,House Wife,0,0,1,0,Nuclear family,Liberal,MiddleClass,"house,car",Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,160 cm,165 cm,Medium,Average,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,chothi,chovadosham,BE,Ex Defence Officer,5 lakhs-6 lakhs Indian Rupee,Chad,kerala,Alappuzha,"simple family,goodlooking girl",Very obedient and faithful
SOOSAN JOHNY,defpass123,EKM500034@email.com,user,free,0,,EKM500034,Female,39 /18-09-1982,5 ft 1 in - 154 cm,60 kg,Fair,Slim,Divorcee,0,Normal,Malayalam,Puthenthope,NM,Siblings,Christian,Latin Catholic,makam,shudhajathakam,Higher Secondary / Plus Two,M.Sc,Homemaker,Not Working,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565636.0,9995050002.0,SOOSAN JOHNY,uncle,Johny Pereira,M.Sc,Gulf Retired,Gulf Retired,Treasa Johnie,M.Sc,House Wife,House Wife,0,0,0,0,Joint family,Moderate,MiddleClass,bike,Non Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,155 cm,170 cm,Fair,Slim,Divorcee,Normal,MiddleClass,Christian,Latin Catholic,makam,shudhajathakam,M.Sc,Gulf Retired,,Chile,tamilnadu,Kottayam,orthodox familyand lovable ,"Susan Johnie is MSc Graduate ,native of Trivandrum."
ASHIMA J CATHERINE ,defpass123,EKM500035@email.com,user,free,0,,EKM500035,male,30 /25-11-1991,5 ft 2 in - 157 cm,58 kg,Fair,Average,UnMarried,0,Normal,Malayalam,Kundara,O+ve,Parents,Christian,Latin Catholic,moolam,chovadosham,High School,M.Tech,Not Working,Doing Ph.D,.,Not Mentioned,.,Not Mentioned,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565637.0,9995050003.0,ASHIMA J CATHERINE ,brother,Kundara Johnny,M.Tech,Film Actor,Film Actor,Dr.Stella Johnny,M.Tech,"Asso.Prof.Dr(College),Fmnc-Kollam","Asso.Prof.Dr(College),Fmnc-Kollam",1,1,0,0,Nuclear family,Moderate,Upper Middle Class,"house,car",Eggetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,165 cm,165 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,moolam,chovadosham,M.Tech,Film Actor,,China,kerala,Idukki,"simple family,goodlooking girl",.
PRIYANKA YOHANNAN,defpass123,EKM500036@email.com,user,free,0,,EKM500036,Female,30 /16-11-1991,5 ft 2 in - 157 cm,50 kg,Moderate Fair,Slim,UnMarried,0,Normal,Malayalam,Bangalore,B+ve,Parents,Christian,Latin Catholic,uthradam,shudhajathakam,Doctorate,MBA,Nurse,Shoot Stylist,Bangalore,Bangalore,Bangalore,Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565631.0,9995050004.0,PRIYANKA YOHANNAN,sister,Yohannan,MBA,Lic Agent And Retd. Mnc Professional,,Leela,MBA,Small Scale Business - Offset Printing,Small Scale Business - Offset Printing,0,0,1,1,Joint family,Liberal,MiddleClass,bike,Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,155 cm,170 cm,Moderate Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,uthradam,shudhajathakam,MBA,Lic Agent And Retd. Mnc Professional,,Colombia,tamilnadu,Thrissur,orthodox familyand lovable ,"My daughter Priyanka, is born and bought up in Bangalore academically and professionally. After pursuing MBA in Marketing she worked with an MNC for 2+ years and is now working as a Fashion Stylist (being her passion) for over a year with a noted Studio Production in Bangalore. Priyanka is talented, creative at work and adventurous in life."
TINA THOMAS,defpass123,EKM500037@email.com,user,free,0,,EKM500037,male,33 /24-05-1988,5 ft 2 in - 157 cm,60 kg,Medium,Slim,UnMarried,0,Normal,Malayalam,Trivandrum,O+ve,Parents,Christian,Latin Catholic,thiruvonam,chovadosham,Masters,B.Tech,Own Business,Engineer,"Borsch, Reutlingen",Germany,"Borsch, Reutlingen",Germany,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565632.0,9995050001.0,TINA THOMAS,parent,Late Mr. Thomas A. Cruz,B.Tech,Business,,Bridget Thomas,B.Tech,Retired Government Employee,Retired Government Employee,1,1,0,0,Nuclear family,Moderate,MiddleClass,"house,car",Non Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,160 cm,165 cm,Medium,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,thiruvonam,chovadosham,B.Tech,Business,,Comoros,kerala, Palakkad,"simple family,goodlooking girl","Our daughter Tina, after her B.Tech, was working in Technopark. She did her Masters in Sensor System Technology in Germany and was working in TDK Company in Berlin. Now she is working in Borsch, Reutlingen."
 JOSHMA D,defpass123,EKM500038@email.com,user,free,0,,EKM500038,Female,30 /23-08-1991,5 ft - 152 cm,40 kg,Moderate Fair,Average,UnMarried,0,Normal,Malayalam,Malappuram,O+ve,Parents,Christian,Latin Catholic,chothi,shudhajathakam,Bachelors,M.Com,Partner In Business,Teacher,Kottakkal Co-Operative College,Malappuram,Kottakkal Co-Operative College,Malappuram,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565633.0,9995050002.0, JOSHMA D,uncle,David Joseph,M.Com,Coolie,,Jancy David,M.Com,Not Mentioned,Not Mentioned,2,2,0,0,Joint family,Moderate,MiddleClass,bike,Eggetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,150 cm,170 cm,Moderate Fair,Average,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,chothi,shudhajathakam,M.Com,Coolie,,Costa Rica,tamilnadu,Malappuram,orthodox familyand lovable ,-
ADLINE BRIGHT,defpass123,EKM500039@email.com,user,free,0,,EKM500039,male,33 /16-04-1988,5 ft 6 in - 167 cm,Not Mentioned,Fair,Slim,UnMarried,0,Normal,Malayalam,Alappuzha,NM,Siblings,Christian,Latin Catholic,makam,chovadosham,Diploma,B. Tech ,Private Company,Project Leader,Not Mentioned,Ernakulam,Not Mentioned,Ernakulam,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050003.0,8078565634.0,9995050003.0,ADLINE BRIGHT,brother,Bright Peter,B. Tech ,Expired,,Ansamma,B. Tech ,House Wife,House Wife,0,0,1,1,Nuclear family,Liberal,MiddleClass,"house,car",Vegetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,154 cm,165 cm,Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,makam,chovadosham,B. Tech ,Expired,10000-1 lakh Canada Dollar,Croatia,kerala, Kozhikode,"simple family,goodlooking girl",-
KARISHMA HANS,defpass123,EKM500040@email.com,user,free,0,,EKM500040,Female,32 /18-06-1989,5 ft - 152 cm,61 kg,Fair,Average,UnMarried,0,Normal,Malayalam,pullichira,B+ve,Parents,Christian,Latin Catholic,moolam,shudhajathakam,Trade School / TTC / ITI,B.Tech,Private Bank,Project Manager at an MNC in Bangalore,Bangalore,Bangalore,Bangalore,Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050004.0,8078565635.0,9995050004.0,KARISHMA HANS,sister,Hans Balthazar(Late),B.Tech,Businessman,,Pushpa Joseph,B.Tech,General Manager (Retd),General Manager (Retd),0,0,0,0,Joint family,Moderate,Upper Middle Class,bike,Non Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,165 cm,170 cm,Fair,Average,UnMarried,Normal,Upper Middle Class,Christian,Latin Catholic,moolam,shudhajathakam,B.Tech,Businessman,,Cuba,tamilnadu,Wayanad,orthodox familyand lovable ,"Schooling in Good Shepherd Chennai and St.Anne's, ICSE Hyderabad.Both are premier schools. BTECH at Marian College ,Trivandrum and MBA -Dual Country Program at IMT Dubai /Ghaziabad.She was very active in a whole lot of extracurricular activities especially debates,and won awards.Post her engineering degree she was placed at Infosys,worked there for 2 years.Post MBA was campus placed at an American firm in Bangalore.Currently working there for the last eight years. Talented and academic oriented. Ambitious, hard working and well read.Has an inherent drive to succeed in her chosen career.Belongs to a closely knit family and upholds all family values.Brought up in Chennai,Hyderabad,Bangalore,Trivandrum ,Dubai hence has a broader perspective to life.Modest and magnanimous in her approach.Friendly and generous besides being a very responsible person.God fearing and caring by nature.Brought up as a Catholic girl with very strict upbringing by family."
MITHU FRANCIS,defpass123,EKM500041@email.com,user,free,0,,EKM500041,male,34 /02-12-1987,5 ft 5 in - 165 cm,49 kg,Fair,Slim,Annulled,0,Normal,Malayalam,Malipuram,A+ve,Parents,Christian,Latin Catholic,uthradam,chovadosham,Higher Secondary / Plus Two,M A,Retired,Guest Lecturer,College,Ernakulam,College,Ernakulam,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050001.0,8078565636.0,9995050001.0,MITHU FRANCIS,parent,Prof. Francis P Joseph,M A,Retd. Professor,,Juliet Joseph,M A,House Maker,House Maker,0,0,0,0,Nuclear family,Moderate,Upper Middle Class,"house,car",Eggetarian,Don't Drink,Don't Smoke,"English,malayalam",Reading,Traveling,23,31,158 cm,165 cm,Fair,Slim,Annulled,Normal,Upper Middle Class,Christian,Latin Catholic,uthradam,chovadosham,M A,Retd. Professor,,Cyprus,kerala,Kannur,"simple family,goodlooking girl","I have passed M. A (English), B.Ed and SET examination. I have taught as Guest Lecturer at St. Albert's College, Ernakulam and Government Arts and Science College, Vypeen"
CELIA,defpass123,EKM500042@email.com,user,free,0,,EKM500042,Female,31 /12-02-1991,5 ft 5 in - 165 cm,50 kg,Fair,Slim,UnMarried,0,Normal,Malayalam,Trivandrum,A+ve,Parents,Christian,Latin Catholic,thiruvonam,shudhajathakam,High School,M.Tech,Scheduled Bank,Deputy Manager,State Bank of India,Bangalore,State Bank of India,Bangalore,Not Mentioned,"Ernakulam,aluva,682234","Fortkochi, Kochi,682043",9995050002.0,8078565637.0,9995050002.0,CELIA,uncle,Pradeep,M.Tech,Private,,Cynthia,M.Tech,Teacher,Teacher,0,0,1,0,Joint family,Liberal,MiddleClass,bike,Vegetarian,Don't Drink,Don't Smoke,"malayalam,hindi",Browsing,Traveling,24,32,155 cm,170 cm,Fair,Slim,UnMarried,Normal,MiddleClass,Christian,Latin Catholic,thiruvonam,shudhajathakam,M.Tech,Private,3 lakhs- 4 lakhs Indian Rupee,Denmark,tamilnadu,Kasaragod,orthodox familyand lovable ,............
